Date,Close USD
18-Oct-19,"7,973.21"
17-Oct-19,"8,103.91"
16-Oct-19,"8,047.53"
15-Oct-19,"8,205.37"
14-Oct-19,"8,374.69"
13-Oct-19,"8,321.01"
12-Oct-19,"8,336.56"
11-Oct-19,"8,321.76"
10-Oct-19,"8,586.47"
09-Oct-19,"8,595.74"
08-Oct-19,"8,228.78"
07-Oct-19,"8,245.62"
06-Oct-19,"7,988.16"
05-Oct-19,"8,151.50"
04-Oct-19,"8,205.94"
03-Oct-19,"8,259.99"
02-Oct-19,"8,393.04"
01-Oct-19,"8,343.28"
30-Sep-19,"8,293.87"
29-Sep-19,"8,104.19"
28-Sep-19,"8,245.92"
27-Sep-19,"8,251.85"
26-Sep-19,"8,118.97"
25-Sep-19,"8,486.99"
24-Sep-19,"8,620.57"
23-Sep-19,"9,729.32"
22-Sep-19,"10,070.39"
21-Sep-19,"10,019.72"
20-Sep-19,"10,181.64"
19-Sep-19,"10,266.41"
18-Sep-19,"10,198.25"
17-Sep-19,"10,241.27"
16-Sep-19,"10,276.79"
15-Sep-19,"10,347.71"
14-Sep-19,"10,358.05"
13-Sep-19,"10,360.55"
12-Sep-19,"10,410.13"
11-Sep-19,"10,178.37"
10-Sep-19,"10,115.98"
09-Sep-19,"10,334.97"
08-Sep-19,"10,441.28"
07-Sep-19,"10,517.25"
06-Sep-19,"10,353.30"
05-Sep-19,"10,575.53"
04-Sep-19,"10,594.49"
03-Sep-19,"10,623.54"
02-Sep-19,"10,346.76"
01-Sep-19,"9,757.97"
31-Aug-19,"9,630.66"
30-Aug-19,"9,598.17"
29-Aug-19,"9,510.20"
28-Aug-19,"9,754.42"
27-Aug-19,"10,185.50"
26-Aug-19,"10,370.82"
25-Aug-19,"10,138.52"
24-Aug-19,"10,159.96"
23-Aug-19,"10,407.97"
22-Aug-19,"10,131.06"
21-Aug-19,"10,138.05"
20-Aug-19,"10,763.23"
19-Aug-19,"10,916.05"
18-Aug-19,"10,345.81"
17-Aug-19,"10,231.74"
16-Aug-19,"10,374.34"
15-Aug-19,"10,311.55"
14-Aug-19,"10,051.70"
13-Aug-19,"10,895.83"
12-Aug-19,"11,382.62"
11-Aug-19,"11,523.58"
10-Aug-19,"11,354.02"
09-Aug-19,"11,862.94"
08-Aug-19,"11,966.41"
07-Aug-19,"11,941.97"
06-Aug-19,"11,478.17"
05-Aug-19,"11,805.65"
04-Aug-19,"10,970.18"
03-Aug-19,"10,821.73"
02-Aug-19,"10,518.17"
01-Aug-19,"10,399.67"
31-Jul-19,"10,085.63"
30-Jul-19,"9,607.42"
29-Jul-19,"9,519.15"
28-Jul-19,"9,552.86"
27-Jul-19,"9,477.68"
26-Jul-19,"9,870.30"
25-Jul-19,"9,911.84"
24-Jul-19,"9,811.93"
23-Jul-19,"9,900.77"
22-Jul-19,"10,343.11"
21-Jul-19,"10,599.11"
20-Jul-19,"10,767.14"
19-Jul-19,"10,530.73"
18-Jul-19,"10,666.48"
17-Jul-19,"9,693.80"
16-Jul-19,"9,477.64"
15-Jul-19,"10,895.09"
14-Jul-19,"10,256.06"
13-Jul-19,"11,392.38"
12-Jul-19,"11,815.99"
11-Jul-19,"11,358.66"
10-Jul-19,"12,156.51"
09-Jul-19,"12,573.81"
08-Jul-19,"12,285.96"
07-Jul-19,"11,450.85"
06-Jul-19,"11,208.55"
05-Jul-19,"10,978.46"
04-Jul-19,"11,215.44"
03-Jul-19,"11,961.27"
02-Jul-19,"10,801.68"
01-Jul-19,"10,583.13"
30-Jun-19,"10,817.16"
29-Jun-19,"11,959.37"
28-Jun-19,"12,407.33"
27-Jun-19,"11,182.81"
26-Jun-19,"13,016.23"
25-Jun-19,"11,790.92"
24-Jun-19,"11,011.10"
23-Jun-19,"10,855.37"
22-Jun-19,"10,701.69"
21-Jun-19,"10,144.56"
20-Jun-19,"9,527.16"
19-Jun-19,"9,273.52"
18-Jun-19,"9,081.76"
17-Jun-19,"9,320.35"
16-Jun-19,"8,994.49"
15-Jun-19,"8,838.38"
14-Jun-19,"8,693.83"
13-Jun-19,"8,230.92"
12-Jun-19,"8,145.86"
11-Jun-19,"7,927.71"
10-Jun-19,"8,000.33"
09-Jun-19,"7,688.08"
08-Jun-19,"7,954.13"
07-Jun-19,"8,043.95"
06-Jun-19,"7,822.02"
05-Jun-19,"7,824.23"
04-Jun-19,"7,707.77"
03-Jun-19,"8,208.99"
02-Jun-19,"8,742.96"
01-Jun-19,"8,564.02"
31-May-19,"8,574.50"
30-May-19,"8,319.47"
29-May-19,"8,659.49"
28-May-19,"8,719.96"
27-May-19,"8,805.78"
26-May-19,"8,673.22"
25-May-19,"8,052.54"
24-May-19,"7,987.37"
23-May-19,"7,881.85"
22-May-19,"7,680.07"
21-May-19,"7,963.33"
20-May-19,"7,978.31"
19-May-19,"8,197.69"
18-May-19,"7,271.21"
17-May-19,"7,343.90"
16-May-19,"7,884.91"
15-May-19,"8,205.17"
14-May-19,"7,994.42"
13-May-19,"7,814.92"
12-May-19,"6,972.37"
11-May-19,"7,204.77"
10-May-19,"6,378.85"
09-May-19,"6,174.53"
08-May-19,"5,982.46"
07-May-19,"5,829.50"
06-May-19,"5,746.81"
05-May-19,"5,795.71"
04-May-19,"5,831.17"
03-May-19,"5,768.29"
02-May-19,"5,505.28"
01-May-19,"5,402.70"
30-Apr-19,"5,350.73"
29-Apr-19,"5,247.35"
28-Apr-19,"5,285.14"
27-Apr-19,"5,268.29"
26-Apr-19,"5,279.35"
25-Apr-19,"5,210.52"
24-Apr-19,"5,464.87"
23-Apr-19,"5,572.36"
22-Apr-19,"5,399.37"
21-Apr-19,"5,314.53"
20-Apr-19,"5,337.89"
19-Apr-19,"5,303.81"
18-Apr-19,"5,298.39"
17-Apr-19,"5,251.94"
16-Apr-19,"5,235.56"
15-Apr-19,"5,067.11"
14-Apr-19,"5,167.72"
13-Apr-19,"5,096.59"
12-Apr-19,"5,089.54"
11-Apr-19,"5,064.49"
10-Apr-19,"5,324.55"
09-Apr-19,"5,204.96"
08-Apr-19,"5,289.77"
07-Apr-19,"5,198.90"
06-Apr-19,"5,059.82"
05-Apr-19,"5,036.68"
04-Apr-19,"4,922.80"
03-Apr-19,"4,973.02"
02-Apr-19,"4,879.88"
01-Apr-19,"4,158.18"
31-Mar-19,"4,105.40"
30-Mar-19,"4,106.66"
29-Mar-19,"4,098.37"
28-Mar-19,"4,069.11"
27-Mar-19,"4,087.07"
26-Mar-19,"3,985.08"
25-Mar-19,"3,963.07"
24-Mar-19,"4,022.17"
23-Mar-19,"4,035.83"
22-Mar-19,"4,023.97"
21-Mar-19,"4,029.33"
20-Mar-19,"4,087.48"
19-Mar-19,"4,071.19"
18-Mar-19,"4,032.51"
17-Mar-19,"4,025.23"
16-Mar-19,"4,048.73"
15-Mar-19,"3,960.91"
14-Mar-19,"3,924.37"
13-Mar-19,"3,906.72"
12-Mar-19,"3,909.16"
11-Mar-19,"3,905.23"
10-Mar-19,"3,951.60"
09-Mar-19,"3,963.31"
08-Mar-19,"3,901.13"
07-Mar-19,"3,911.48"
06-Mar-19,"3,903.94"
05-Mar-19,"3,896.38"
04-Mar-19,"3,761.56"
03-Mar-19,"3,847.18"
02-Mar-19,"3,864.42"
01-Mar-19,"3,859.58"
28-Feb-19,"3,854.79"
27-Feb-19,"3,851.05"
26-Feb-19,"3,854.36"
25-Feb-19,"3,882.70"
24-Feb-19,"3,810.43"
23-Feb-19,"4,142.53"
22-Feb-19,"4,005.53"
21-Feb-19,"3,954.12"
20-Feb-19,"3,999.82"
19-Feb-19,"3,947.09"
18-Feb-19,"3,915.71"
17-Feb-19,"3,673.84"
16-Feb-19,"3,629.79"
15-Feb-19,"3,620.81"
14-Feb-19,"3,616.88"
13-Feb-19,"3,632.07"
12-Feb-19,"3,653.53"
11-Feb-19,"3,648.43"
10-Feb-19,"3,690.19"
09-Feb-19,"3,671.20"
08-Feb-19,"3,666.78"
07-Feb-19,"3,399.47"
06-Feb-19,"3,413.77"
05-Feb-19,"3,466.36"
04-Feb-19,"3,459.15"
03-Feb-19,"3,464.01"
02-Feb-19,"3,521.06"
01-Feb-19,"3,487.95"
31-Jan-19,"3,457.79"
30-Jan-19,"3,486.18"
29-Jan-19,"3,448.12"
28-Jan-19,"3,470.45"
27-Jan-19,"3,583.97"
26-Jan-19,"3,602.46"
25-Jan-19,"3,599.77"
24-Jan-19,"3,600.87"
23-Jan-19,"3,585.12"
22-Jan-19,"3,604.58"
21-Jan-19,"3,576.03"
20-Jan-19,"3,601.01"
19-Jan-19,"3,728.57"
18-Jan-19,"3,657.84"
17-Jan-19,"3,678.56"
16-Jan-19,"3,655.01"
15-Jan-19,"3,630.68"
14-Jan-19,"3,706.05"
13-Jan-19,"3,552.95"
12-Jan-19,"3,661.30"
11-Jan-19,"3,687.37"
10-Jan-19,"3,678.92"
09-Jan-19,"4,035.30"
08-Jan-19,"4,030.85"
07-Jan-19,"4,025.25"
06-Jan-19,"4,076.63"
05-Jan-19,"3,845.19"
04-Jan-19,"3,857.72"
03-Jan-19,"3,836.74"
02-Jan-19,"3,943.41"
01-Jan-19,"3,843.52"
31-Dec-18,"3,742.70"
30-Dec-18,"3,865.95"
29-Dec-18,"3,820.41"
28-Dec-18,"3,923.92"
27-Dec-18,"3,654.83"
26-Dec-18,"3,857.30"
25-Dec-18,"3,815.49"
24-Dec-18,"4,078.60"
23-Dec-18,"3,998.98"
22-Dec-18,"4,014.18"
21-Dec-18,"3,896.54"
20-Dec-18,"4,134.44"
19-Dec-18,"3,745.95"
18-Dec-18,"3,696.06"
